"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Orig","Origin","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2","Fv_Fm"
"S12_H_T_9","M1_70","M1","SS","AC12","H","Heat","T","Transplant","M1.SS.AC12.H.T",22.3685371353735,0.284968121134738,0.258018795108107,0.515
"S8_C_N_10","M1_21","M1","SS","AC8","C","Control","N","Native","M1.SS.AC8.C.N",74.4985551770673,1.42846618184382,0.998491847569389,0.645
"S8_C_N_11","M1_67","M1","SS","AC8","C","Control","N","Native","M1.SS.AC8.C.N",47.4841584104279,1.26567228619419,0.615440727566569,0.647
"S8_C_N_12","M1_80","M1","SS","AC8","C","Control","N","Native","M1.SS.AC8.C.N",55.3813382958832,1.51959732146071,0.817460563306129,0.636333333333333
"S8_C_N_13","M4_76","M4","SS","AC8","C","Control","N","Native","M4.SS.AC8.C.N",43.0392976005815,1.68119340619433,0.634828436410886,0.608
"S8_C_N_14","M4_57","M4","SS","AC8","C","Control","N","Native","M4.SS.AC8.C.N",34.7968858075654,0.964208890767232,0.550191477072859,0.610666666666667
"S8_C_N_15","M4_28","M4","SS","AC8","C","Control","N","Native","M4.SS.AC8.C.N",53.3099468505179,1.59360691613923,0.117907714626411,0.608
"S8_C_N_16","M4_81","M4","SS","AC8","C","Control","N","Native","M4.SS.AC8.C.N",51.8427112433841,1.52877189674593,0.411817350751009,0.62
"S8_C_N_17","M8_67","M8","SS","AC8","C","Control","N","Native","M8.SS.AC8.C.N",23.8357727425072,1.58282372777389,0.58219585116502,0.597
"S8_C_N_18","M8_9","M8","SS","AC8","C","Control","N","Native","M8.SS.AC8.C.N",43.3413755196973,1.55344400570308,0.949135543270993,0.605666666666667
"S8_C_N_19","M8_36","M8","SS","AC8","C","Control","N","Native","M8.SS.AC8.C.N",37.9039729756133,1.21149833104684,0.712101605216049,0.587333333333333
"S8_C_N_20","M8_12","M8","SS","AC8","C","Control","N","Native","M8.SS.AC8.C.N",38.4649748253998,0.427131437745046,0.741907153963759,0.595666666666667
"S8_C_N_21","M12_75","M12","SS","AC8","C","Control","N","Native","M12.SS.AC8.C.N",65.8677574880451,2.16979777031688,0.756220887116744,0.648
"S8_C_N_22","M12_65","M12","SS","AC8","C","Control","N","Native","M12.SS.AC8.C.N",36.0483514724736,2.08896052821819,0.631857742992568,0.655
"S8_C_N_23","M12_10","M12","SS","AC8","C","Control","N","Native","M12.SS.AC8.C.N",61.4228966781987,2.73487047585449,1.00201721716985,0.651
"S8_C_N_24","M12_16","M12","SS","AC8","C","Control","N","Native","M12.SS.AC8.C.N",46.8368485837512,2.19790655817906,0.956886967317186,0.641666666666667
"S8_C_N_5","W2_4","W2","SS","AC8","C","Control","N","Native","W2.SS.AC8.C.N",76.0089447726461,0.990058914229464,0.804263237476226,0.651
"S8_C_N_6","W2_26","W2","SS","AC8","C","Control","N","Native","W2.SS.AC8.C.N",41.6152159818929,1.01229495845133,1.03454342322127,0.64
"S8_C_N_7","W2_5","W2","SS","AC8","C","Control","N","Native","W2.SS.AC8.C.N",52.2310971393901,1.56198263362038,1.10073506299453,0.63
"S8_C_N_8","W2_25","W2","SS","AC8","C","Control","N","Native","W2.SS.AC8.C.N",35.7894275418029,1.03164908007746,1.06563062388895,0.618666666666667
"S8_C_N_9","M1_49","M1","SS","AC8","C","Control","N","Native","M1.SS.AC8.C.N",73.247089512159,1.3878940539081,0.714995781386049,0.645
"S8_C_T_10","M1_81","M1","SS","AC8","C","Control","T","Transplant","M1.SS.AC8.C.T",36.6525073107051,1.2208214375991,0.618685914384277,0.623
"S8_C_T_11","M1_56","M1","SS","AC8","C","Control","T","Transplant","M1.SS.AC8.C.T",40.7521362129907,1.08453128532138,0.785682002844147,0.612333333333333
"S8_C_T_12","M1_24","M1","SS","AC8","C","Control","T","Transplant","M1.SS.AC8.C.T",40.1911343632042,1.40407781203767,0.928057682147648,0.634
"S8_C_T_13","M4_53","M4","SS","AC8","C","Control","T","Transplant","M4.SS.AC8.C.T",51.411171358933,1.53209048898631,0.896008761955507,0.623333333333333
"S8_C_T_14","M4_19","M4","SS","AC8","C","Control","T","Transplant","M4.SS.AC8.C.T",30.6972569052798,1.77947083356292,0.284978818367818,0.617666666666667
"S8_C_T_15","M4_37","M4","SS","AC8","C","Control","T","Transplant","M4.SS.AC8.C.T",31.517182685737,1.3122930565338,0.443717959801298,0.613666666666667
"S8_C_T_16","M4_42","M4","SS","AC8","C","Control","T","Transplant","M4.SS.AC8.C.T",50.7207075438112,1.40205680829487,0.276559391208879,0.636333333333333
"S8_C_T_17","M8_21","M8","SS","AC8","C","Control","T","Transplant","M8.SS.AC8.C.T",35.0126557497909,1.68084745567136,1.03310300876608,0.598333333333333
"S8_C_T_18","M8_85","M8","SS","AC8","C","Control","T","Transplant","M8.SS.AC8.C.T",37.0408932067112,1.6429231244611,0.950691653235289,0.597
"S8_C_T_19","M8_51","M8","SS","AC8","C","Control","T","Transplant","M8.SS.AC8.C.T",42.9961436121364,1.21671997234422,0.813420857356333,0.594666666666667
"S8_C_T_20","M8_96","M8","SS","AC8","C","Control","T","Transplant","M8.SS.AC8.C.T",36.3935833800344,1.10302273839906,0.583606559931442,0.589666666666667
"S8_C_T_21","M12_84","M12","SS","AC8","C","Control","T","Transplant","M12.SS.AC8.C.T",57.1074978336876,2.63782735567759,0.910903541098833,0.663
"S8_C_T_22","M12_68","M12","SS","AC8","C","Control","T","Transplant","M12.SS.AC8.C.T",45.0675350575017,2.44550613191319,0.759348740869367,0.633
"S8_C_T_23","M12_4","M12","SS","AC8","C","Control","T","Transplant","M12.SS.AC8.C.T",23.1021549389404,2.32085492204994,0.849138534991566,0.631666666666667
"S8_C_T_24","M12_39","M12","SS","AC8","C","Control","T","Transplant","M12.SS.AC8.C.T",87.7899836181614,1.6043559966849,0.668781922267656,0.627
"S8_C_T_5","W2_69","W2","SS","AC8","C","Control","T","Transplant","W2.SS.AC8.C.T",31.0856428012859,0,0.517644756547688,0.644
"S8_C_T_6","W2_29","W2","SS","AC8","C","Control","T","Transplant","W2.SS.AC8.C.T",41.7446779472282,0.844986756026516,0.984012334504726,0.635666666666667
"S8_C_T_7","W2_52","W2","SS","AC8","C","Control","T","Transplant","W2.SS.AC8.C.T",19.9087597940022,1.0714780941014,0.82732828013537,0.633333333333333
"S8_C_T_8","W2_3","W2","SS","AC8","C","Control","T","Transplant","W2.SS.AC8.C.T",46.2758467339648,1.29074317487298,0.888452246727316,0.637666666666667
"S8_C_T_9","M1_64","M1","SS","AC8","C","Control","T","Transplant","M1.SS.AC8.C.T",26.4250120492139,1.28521947073286,0.804598649204117,0.627
"S8_H_N_10","M1_83","M1","SS","AC8","H","Heat","N","Native","M1.SS.AC8.H.N",43.9455313579289,0.12586148873592,0.135928496377647,0.582333333333333
"S8_H_N_11","M1_8","M1","SS","AC8","H","Heat","N","Native","M1.SS.AC8.H.N",74.4985551770673,0.200798525078039,0.221516242305327,0.506666666666667
"S8_H_N_12","M1_61","M1","SS","AC8","H","Heat","N","Native","M1.SS.AC8.H.N",38.162896906284,0.109150955623098,0.134721035791007,0.560666666666667
"S8_H_N_13","M4_80","M4","SS","AC8","H","Heat","N","Native","M4.SS.AC8.H.N",31.2582587550663,0.150579938042895,0.14010921191476,0.558333333333333
"S8_H_N_14","M4_11","M4","SS","AC8","H","Heat","N","Native","M4.SS.AC8.H.N",31.3877207204016,0.333901382221781,0.121385430752974,0.542
"S8_H_N_15","M4_5","M4","SS","AC8","H","Heat","N","Native","M4.SS.AC8.H.N",53.6983327465239,0.222810455893987,0.114543258336045,0.591
"S8_H_N_16","M4_52","M4","SS","AC8","H","Heat","N","Native","M4.SS.AC8.H.N",35.9620434955834,0.182052316747167,0.276327567459297,0.563333333333333
"S8_H_N_17","M8_71","M8","SS","AC8","H","Heat","N","Native","M8.SS.AC8.H.N",27.5901697372319,1.16452950353941,0.912605621487785,0.590666666666667
"S8_H_N_18","M8_90","M8","SS","AC8","H","Heat","N","Native","M8.SS.AC8.H.N",53.2667928620727,1.24953239639709,0.662532472930767,0.565666666666667
"S8_H_N_19","M8_63","M8","SS","AC8","H","Heat","N","Native","M8.SS.AC8.H.N",43.5139914734777,0.60718026023355,0.640193074840753,0.543
"S8_H_N_20","M8_86","M8","SS","AC8","H","Heat","N","Native","M8.SS.AC8.H.N",28.3669415292439,0.845262785037337,0.644355683574718,0.577333333333333
"S8_H_N_21","M12_59","M12","SS","AC8","H","Heat","N","Native","M12.SS.AC8.H.N",54.6045665038712,0.0778044817863136,0.0607738182440242,0.566666666666667
"S8_H_N_22","M12_3","M12","SS","AC8","H","Heat","N","Native","M12.SS.AC8.H.N",34.0201140155534,0.13651482760689,0.0850614433178268,0.526
"S8_H_N_23","M12_57","M12","SS","AC8","H","Heat","N","Native","M12.SS.AC8.H.N",32.3802624546392,0.262184409774099,0.258628231063031,0.493
"S8_H_N_24","M12_46","M12","SS","AC8","H","Heat","N","Native","M12.SS.AC8.H.N",51.2385554051526,0.42603517007959,0.421037240988074,0.509
"S8_H_N_5","W2_42","W2","SS","AC8","H","Heat","N","Native","W2.SS.AC8.H.N",53.9141026887494,0.12301976049365,0.218580471755846,0.579333333333333
"S8_H_N_6","W2_76","W2","SS","AC8","H","Heat","N","Native","W2.SS.AC8.H.N",35.7031195649127,0.127049402272899,0.0923287387816824,0.626333333333333
"S8_H_N_7","W2_48","W2","SS","AC8","H","Heat","N","Native","W2.SS.AC8.H.N",56.3307260416756,0.153273366184065,0.309955174145677,0.571
"S8_H_N_8","W2_56","W2","SS","AC8","H","Heat","N","Native","W2.SS.AC8.H.N",44.2044552885995,0.25368483621813,0.379488445010346,0.553
"S8_H_N_9","M1_30","M1","SS","AC8","H","Heat","N","Native","M1.SS.AC8.H.N",43.211913554362,0.258776243560681,0.24820377339937,0.588333333333333
"S8_H_T_10","M1_22","M1","SS","AC8","H","Heat","T","Transplant","M1.SS.AC8.H.T",47.2252344797573,0.0935156817885788,0.137048022551889,0.542333333333333
"S8_H_T_11","M1_87","M1","SS","AC8","H","Heat","T","Transplant","M1.SS.AC8.H.T",46.1032307801844,0.0343617277977743,0.0158782798431263,0.505
"S8_H_T_12","M1_45","M1","SS","AC8","H","Heat","T","Transplant","M1.SS.AC8.H.T",57.7979616488094,0.0744213096326141,0.0720025392121372,0.521
"S8_H_T_13","M4_3","M4","SS","AC8","H","Heat","T","Transplant","M4.SS.AC8.H.T",43.6866074272582,0.195578778863982,0.100944299859926,0.573666666666667
"S8_H_T_14","M4_14","M4","SS","AC8","H","Heat","T","Transplant","M4.SS.AC8.H.T",39.8459024556433,0.280798007083797,0.13680796930295,0.573666666666667
"S8_H_T_15","M4_87","M4","SS","AC8","H","Heat","T","Transplant","M4.SS.AC8.H.T",23.1453089273855,0.173544108337539,0.131547002010309,0.564666666666667
"S8_H_T_16","M4_40","M4","SS","AC8","H","Heat","T","Transplant","M4.SS.AC8.H.T",33.7180360964376,0.127440795218418,0.0914183729794888,0.571333333333333
"S8_H_T_17","M8_82","M8","SS","AC8","H","Heat","T","Transplant","M8.SS.AC8.H.T",36.6525073107051,1.36671177523243,0.886518341693631,0.600666666666667
"S8_H_T_18","M8_83","M8","SS","AC8","H","Heat","T","Transplant","M8.SS.AC8.H.T",29.4457912403716,0.997463432387946,0.92006391605655,0.565
"S8_H_T_19","M8_14","M8","SS","AC8","H","Heat","T","Transplant","M8.SS.AC8.H.T",20.8149935513495,0.647040315759638,1.03955026200799,0.551666666666667
