"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"KL","K12_T_7","T","Transplant","AC12",4.168,7.753,10.072,32.416,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,3.585,0.0341428571428571,2022-03-28,2022-08-04,129,22.344,0.173209302325581
"KL","K12_T_8","T","Transplant","AC12",25.725,50.651,8.624,30.849,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,24.926,0.237390476190476,2022-03-28,2022-08-04,129,22.225,0.172286821705426
"KL","K12_T_9","T","Transplant","AC12",18.083,26.26,12.734,40.651,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,8.177,0.0778761904761905,2022-03-28,2022-08-04,129,27.917,0.216410852713178
"KL","K8_N_1","N","Native","AC8",18.619,33.117,15.874,27.053,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,14.498,0.13807619047619,2022-03-28,2022-08-04,129,11.179,0.0866589147286822
"KL","K8_N_13","N","Native","AC8",23.59,41.23,20.138,39.922,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,17.64,0.168,2022-03-28,2022-08-04,129,19.784,0.153364341085271
"KL","K8_N_14","N","Native","AC8",51.7,75.67,14.843,41.762,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,23.97,0.228285714285714,2022-03-28,2022-08-04,129,26.919,0.208674418604651
"KL","K8_N_17","N","Native","AC8",51.465,55.987,19.275,58.87,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,4.522,0.0430666666666666,2022-03-28,2022-08-04,129,39.595,0.306937984496124
"KL","K8_N_18","N","Native","AC8",46.289,79.084,12.317,35.71,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,32.795,0.312333333333333,2022-03-28,2022-08-04,129,23.393,0.181341085271318
"KL","K8_N_2","N","Native","AC8",35.707,59.24,16.166,35.816,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,23.533,0.22412380952381,2022-03-28,2022-08-04,129,19.65,0.152325581395349
"KL","K8_N_3","N","Native","AC8",24.241,32.465,14.622,38.775,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,8.224,0.0783238095238096,2022-03-28,2022-08-04,129,24.153,0.187232558139535
"KL","K8_N_4","N","Native","AC8",41.309,67.395,14.324,36.367,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,26.086,0.248438095238095,2022-03-28,2022-08-04,129,22.043,0.170875968992248
"KL","K8_N_5","N","Native","AC8",12.436,34.591,21.427,43.954,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,22.155,0.211,2022-03-28,2022-08-04,129,22.527,0.174627906976744
"KL","K8_N_6","N","Native","AC8",16.234,37.749,13.91,27.027,"KL.AC8.N","KL.N",2021-08-26,2021-12-09,105,21.515,0.204904761904762,2022-03-28,2022-08-04,129,13.117,0.101682170542636
