Row,Column,Well,Plate,A562,Input,RandN,Rep,Fraction
G,11,G11,PS_A3,1.303,Un,174,C,S
H,11,H11,PS_A3,0.967,Un,175,C,S
A,12,A12,PS_A3,1.014,Un,176,C,S
B,12,B12,PS_A3,1.238,Un,177,C,S
C,12,C12,PS_A3,1.261,Un,178,C,S
D,12,D12,PS_A3,0.989,Un,179,C,S
E,12,E12,PS_A3,1.747,Un,180,C,S
F,12,F12,PS_A3,1.431,Un,181,C,S
G,12,G12,PS_A3,1.407,Un,182,C,S
H,12,H12,PS_A3,1.304,Un,183,C,S
A,1,A1,PS_B1,2.311,Standard,St_A,Q,NA
B,1,B1,PS_B1,1.846,Standard,St_B,Q,NA
C,1,C1,PS_B1,1.321,Standard,St_C,Q,NA
D,1,D1,PS_B1,0.994,Standard,St_D,Q,NA
E,1,E1,PS_B1,0.725,Standard,St_E,Q,NA
F,1,F1,PS_B1,0.443,Standard,St_F,Q,NA
G,1,G1,PS_B1,0.288,Standard,St_G,Q,NA
H,1,H1,PS_B1,0.153,Standard,St_H,Q,NA
A,2,A2,PS_B1,0.11,Standard,St_I,Q,NA
B,2,B2,PS_B1,1.789,Un,184,A,S
C,2,C2,PS_B1,1.368,Un,185,A,S
D,2,D2,PS_B1,1.313,Un,186,A,S
E,2,E2,PS_B1,1.081,Un,187,A,S
F,2,F2,PS_B1,1.236,Un,188,A,S
G,2,G2,PS_B1,0.767,Un,189,A,S
H,2,H2,PS_B1,1.282,Un,190,A,S
A,3,A3,PS_B1,1.294,Un,191,A,S
B,3,B3,PS_B1,0.752,Un,192,A,S
C,3,C3,PS_B1,1.086,Un,193,A,S
D,3,D3,PS_B1,0.933,Un,194,A,S
E,3,E3,PS_B1,1.25,Un,195,A,S
F,3,F3,PS_B1,1.093,Un,196,A,S
G,3,G3,PS_B1,1.121,Un,197,A,S
H,3,H3,PS_B1,0.96,Un,198,A,S
A,4,A4,PS_B1,0.839,Un,199,A,S
B,4,B4,PS_B1,0.926,Un,200,A,S
C,4,C4,PS_B1,1.119,Un,201,A,S
D,4,D4,PS_B1,1.059,Un,202,A,S
E,4,E4,PS_B1,0.819,Un,203,A,S
F,4,F4,PS_B1,1.252,Un,204,A,S
G,4,G4,PS_B1,0.944,Un,205,A,S
H,4,H4,PS_B1,0.73,Un,206,A,S
A,5,A5,PS_B1,0.916,Un,207,A,S
B,5,B5,PS_B1,1.38,Un,208,A,S
C,5,C5,PS_B1,1.028,Un,209,A,S
D,5,D5,PS_B1,1.325,Un,210,A,S
E,5,E5,PS_B1,1.834,Un,211,A,S
F,5,F5,PS_B1,1.817,Un,212,A,S
G,5,G5,PS_B1,1.614,Un,213,A,S
H,5,H5,PS_B1,1.324,Un,214,A,S
A,6,A6,PS_B1,1.1,Un,215,A,S
B,6,B6,PS_B1,1.381,Un,216,A,S
C,6,C6,PS_B1,0.884,Un,217,A,S
D,6,D6,PS_B1,0.91,Un,218,A,S
E,6,E6,PS_B1,1.159,Un,219,A,S
F,6,F6,PS_B1,1.392,Un,220,A,S
G,6,G6,PS_B1,1.063,Un,221,A,S
H,6,H6,PS_B1,1.33,Un,222,A,S
A,7,A7,PS_B1,0.848,Un,223,A,S
B,7,B7,PS_B1,1.003,Un,224,A,S
C,7,C7,PS_B1,0.845,Un,225,A,S
D,7,D7,PS_B1,1.042,Un,226,A,S
E,7,E7,PS_B1,1.324,Un,227,A,S
F,7,F7,PS_B1,1.267,Un,228,A,S
G,7,G7,PS_B1,0.827,Un,229,A,S
H,7,H7,PS_B1,1.109,Un,230,A,S
A,8,A8,PS_B1,0.935,Un,231,A,S
B,8,B8,PS_B1,0.953,Un,232,A,S
C,8,C8,PS_B1,1.269,Un,233,A,S
D,8,D8,PS_B1,1.328,Un,234,A,S
E,8,E8,PS_B1,1.037,Un,235,A,S
F,8,F8,PS_B1,1.006,Un,236,A,S
G,8,G8,PS_B1,1.187,Un,237,A,S
H,8,H8,PS_B1,1.348,Un,238,A,S
A,9,A9,PS_B1,1.458,Un,239,A,S
B,9,B9,PS_B1,1.314,Un,240,A,S
A,1,A1,PS_B2,2.566,Standard,St_A,R,NA
B,1,B1,PS_B2,1.993,Standard,St_B,R,NA
C,1,C1,PS_B2,1.402,Standard,St_C,R,NA
D,1,D1,PS_B2,1.122,Standard,St_D,R,NA
E,1,E1,PS_B2,0.83,Standard,St_E,R,NA
F,1,F1,PS_B2,0.496,Standard,St_F,R,NA
G,1,G1,PS_B2,0.314,Standard,St_G,R,NA
H,1,H1,PS_B2,0.15,Standard,St_H,R,NA
A,2,A2,PS_B2,0.107,Standard,St_I,R,NA
B,2,B2,PS_B2,2.093,Un,184,B,S
C,2,C2,PS_B2,1.363,Un,185,B,S
D,2,D2,PS_B2,1.308,Un,186,B,S
E,2,E2,PS_B2,1.001,Un,187,B,S
F,2,F2,PS_B2,1.234,Un,188,B,S
G,2,G2,PS_B2,0.808,Un,189,B,S
H,2,H2,PS_B2,1.35,Un,190,B,S
A,3,A3,PS_B2,1.221,Un,191,B,S
B,3,B3,PS_B2,0.758,Un,192,B,S
C,3,C3,PS_B2,1.197,Un,193,B,S
D,3,D3,PS_B2,1.052,Un,194,B,S
E,3,E3,PS_B2,1.241,Un,195,B,S
F,3,F3,PS_B2,1.099,Un,196,B,S
G,3,G3,PS_B2,0.993,Un,197,B,S
H,3,H3,PS_B2,0.907,Un,198,B,S
A,4,A4,PS_B2,0.889,Un,199,B,S
B,4,B4,PS_B2,0.942,Un,200,B,S
C,4,C4,PS_B2,1.217,Un,201,B,S
D,4,D4,PS_B2,1.169,Un,202,B,S
E,4,E4,PS_B2,0.894,Un,203,B,S
F,4,F4,PS_B2,1.323,Un,204,B,S
G,4,G4,PS_B2,1.046,Un,205,B,S
H,4,H4,PS_B2,0.731,Un,206,B,S
A,5,A5,PS_B2,0.924,Un,207,B,S
B,5,B5,PS_B2,1.511,Un,208,B,S
C,5,C5,PS_B2,1.056,Un,209,B,S
D,5,D5,PS_B2,1.4,Un,210,B,S
E,5,E5,PS_B2,1.926,Un,211,B,S
F,5,F5,PS_B2,1.88,Un,212,B,S
G,5,G5,PS_B2,1.758,Un,213,B,S
H,5,H5,PS_B2,1.372,Un,214,B,S
A,6,A6,PS_B2,1.07,Un,215,B,S
B,6,B6,PS_B2,1.345,Un,216,B,S
C,6,C6,PS_B2,0.94,Un,217,B,S
D,6,D6,PS_B2,0.993,Un,218,B,S
E,6,E6,PS_B2,1.306,Un,219,B,S
F,6,F6,PS_B2,1.418,Un,220,B,S
G,6,G6,PS_B2,1.144,Un,221,B,S
H,6,H6,PS_B2,1.39,Un,222,B,S
A,7,A7,PS_B2,0.801,Un,223,B,S
B,7,B7,PS_B2,0.956,Un,224,B,S
C,7,C7,PS_B2,0.88,Un,225,B,S
D,7,D7,PS_B2,1.077,Un,226,B,S
E,7,E7,PS_B2,1.333,Un,227,B,S
F,7,F7,PS_B2,1.284,Un,228,B,S
G,7,G7,PS_B2,0.885,Un,229,B,S
H,7,H7,PS_B2,1.112,Un,230,B,S
A,8,A8,PS_B2,0.853,Un,231,B,S
B,8,B8,PS_B2,1.001,Un,232,B,S
C,8,C8,PS_B2,1.331,Un,233,B,S
D,8,D8,PS_B2,1.321,Un,234,B,S
E,8,E8,PS_B2,1.078,Un,235,B,S
F,8,F8,PS_B2,1.075,Un,236,B,S
G,8,G8,PS_B2,1.27,Un,237,B,S
H,8,H8,PS_B2,1.438,Un,238,B,S
A,9,A9,PS_B2,1.376,Un,239,B,S
B,9,B9,PS_B2,1.185,Un,240,B,S
A,1,A1,PS_B3,2.66,Standard,St_A,S,NA
B,1,B1,PS_B3,1.95,Standard,St_B,S,NA
C,1,C1,PS_B3,1.444,Standard,St_C,S,NA
D,1,D1,PS_B3,1.119,Standard,St_D,S,NA
E,1,E1,PS_B3,0.859,Standard,St_E,S,NA
F,1,F1,PS_B3,0.509,Standard,St_F,S,NA
G,1,G1,PS_B3,0.318,Standard,St_G,S,NA
H,1,H1,PS_B3,0.151,Standard,St_H,S,NA
A,2,A2,PS_B3,0.106,Standard,St_I,S,NA
B,2,B2,PS_B3,2.043,Un,184,C,S
C,2,C2,PS_B3,1.452,Un,185,C,S
D,2,D2,PS_B3,1.483,Un,186,C,S
E,2,E2,PS_B3,1.129,Un,187,C,S
F,2,F2,PS_B3,1.33,Un,188,C,S
G,2,G2,PS_B3,0.845,Un,189,C,S
H,2,H2,PS_B3,1.317,Un,190,C,S
A,3,A3,PS_B3,1.243,Un,191,C,S
B,3,B3,PS_B3,0.744,Un,192,C,S
C,3,C3,PS_B3,1.08,Un,193,C,S
D,3,D3,PS_B3,0.835,Un,194,C,S
E,3,E3,PS_B3,1.21,Un,195,C,S
F,3,F3,PS_B3,1.096,Un,196,C,S
G,3,G3,PS_B3,0.935,Un,197,C,S
H,3,H3,PS_B3,0.924,Un,198,C,S
A,4,A4,PS_B3,0.92,Un,199,C,S
B,4,B4,PS_B3,0.918,Un,200,C,S
C,4,C4,PS_B3,1.157,Un,201,C,S
D,4,D4,PS_B3,1.121,Un,202,C,S
E,4,E4,PS_B3,0.897,Un,203,C,S
F,4,F4,PS_B3,1.337,Un,204,C,S
G,4,G4,PS_B3,1.038,Un,205,C,S
H,4,H4,PS_B3,0.726,Un,206,C,S
A,5,A5,PS_B3,0.939,Un,207,C,S
B,5,B5,PS_B3,1.468,Un,208,C,S
C,5,C5,PS_B3,1.038,Un,209,C,S
D,5,D5,PS_B3,1.274,Un,210,C,S
E,5,E5,PS_B3,1.853,Un,211,C,S
F,5,F5,PS_B3,1.861,Un,212,C,S
G,5,G5,PS_B3,1.647,Un,213,C,S
H,5,H5,PS_B3,1.342,Un,214,C,S
A,6,A6,PS_B3,1.144,Un,215,C,S
B,6,B6,PS_B3,1.408,Un,216,C,S
C,6,C6,PS_B3,0.9,Un,217,C,S
D,6,D6,PS_B3,0.945,Un,218,C,S
E,6,E6,PS_B3,1.206,Un,219,C,S
F,6,F6,PS_B3,1.415,Un,220,C,S
G,6,G6,PS_B3,1.036,Un,221,C,S
H,6,H6,PS_B3,1.349,Un,222,C,S
A,7,A7,PS_B3,0.826,Un,223,C,S
B,7,B7,PS_B3,0.942,Un,224,C,S
C,7,C7,PS_B3,0.795,Un,225,C,S
D,7,D7,PS_B3,1.024,Un,226,C,S
E,7,E7,PS_B3,1.302,Un,227,C,S
F,7,F7,PS_B3,1.25,Un,228,C,S
G,7,G7,PS_B3,0.855,Un,229,C,S
H,7,H7,PS_B3,1.093,Un,230,C,S
A,8,A8,PS_B3,0.913,Un,231,C,S
B,8,B8,PS_B3,0.932,Un,232,C,S
C,8,C8,PS_B3,1.34,Un,233,C,S
D,8,D8,PS_B3,1.312,Un,234,C,S
E,8,E8,PS_B3,1.059,Un,235,C,S
F,8,F8,PS_B3,0.98,Un,236,C,S
G,8,G8,PS_B3,1.226,Un,237,C,S
H,8,H8,PS_B3,1.4,Un,238,C,S
A,9,A9,PS_B3,1.439,Un,239,C,S
B,9,B9,PS_B3,0.985,Un,240,C,S
