Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
H,1,H1,1C,8,C,0.062,0.129,0.039
A,2,A2,1C,9,C,0.063,0.124,0.043
B,2,B2,1C,10,C,0.057,0.099,0.045
C,2,C2,1C,11,C,0.078,0.182,0.04
D,2,D2,1C,12,C,0.059,0.108,0.045
E,2,E2,1C,13,C,0.058,0.113,0.04
F,2,F2,1C,14,C,0.063,0.125,0.039
G,2,G2,1C,15,C,0.075,0.174,0.039
H,2,H2,1C,16,C,0.063,0.13,0.042
A,3,A3,1C,17,C,0.078,0.161,0.045
B,3,B3,1C,18,C,0.07,0.151,0.042
C,3,C3,1C,19,C,0.068,0.147,0.041
D,3,D3,1C,20,C,0.047,0.074,0.04
E,3,E3,1C,21,C,0.073,0.169,0.04
F,3,F3,1C,22,C,0.063,0.127,0.042
G,3,G3,1C,23,C,0.067,0.143,0.041
H,3,H3,1C,24,C,0.08,0.188,0.045
A,4,A4,1C,25,C,0.057,0.099,0.045
B,4,B4,1C,26,C,0.095,0.218,0.042
C,4,C4,1C,27,C,0.098,0.243,0.042
D,4,D4,1C,28,C,0.085,0.206,0.042
E,4,E4,1C,29,C,0.079,0.167,0.041
F,4,F4,1C,30,C,0.077,0.183,0.04
G,4,G4,1C,31,C,0.067,0.137,0.046
H,4,H4,1C,32,C,0.068,0.134,0.045
A,5,A5,1C,33,C,0.075,0.167,0.045
B,5,B5,1C,34,C,0.06,0.111,0.043
C,5,C5,1C,35,C,0.083,0.202,0.042
D,5,D5,1C,36,C,0.06,0.117,0.042
E,5,E5,1C,37,C,0.066,0.137,0.04
F,5,F5,1C,38,C,0.057,0.12,0.04
G,5,G5,1C,39,C,0.05,0.088,0.04
H,5,H5,1C,40,C,0.077,0.171,0.046
A,6,A6,1C,41,C,0.066,0.133,0.046
B,6,B6,1C,42,C,0.06,0.122,0.043
C,6,C6,1C,43,C,0.07,0.156,0.041
D,6,D6,1C,44,C,0.076,0.179,0.044
E,6,E6,1C,45,C,0.087,0.225,0.041
F,6,F6,1C,46,C,0.049,0.084,0.04
G,6,G6,1C,47,C,0.085,0.202,0.044
H,6,H6,1C,48,C,0.107,0.251,0.059
A,7,A7,1C,49,C,0.079,0.181,0.045
B,7,B7,1C,50,C,0.088,0.198,0.044
C,7,C7,1C,51,C,0.061,0.12,0.042
D,7,D7,1C,52,C,0.058,0.107,0.042
E,7,E7,1C,53,C,0.045,0.063,0.04
F,7,F7,1C,54,C,0.059,0.115,0.04
G,7,G7,1C,55,C,0.064,0.128,0.041
H,7,H7,1C,56,C,0.086,0.21,0.046
A,8,A8,1C,57,C,0.05,0.077,0.042
B,8,B8,1C,58,C,0.051,0.085,0.042
C,8,C8,1C,59,C,0.053,0.09,0.042
D,8,D8,1C,60,C,0.049,0.077,0.042
E,8,E8,1C,61,C,0.05,0.076,0.039
F,8,F8,1C,62,C,0.067,0.144,0.041
G,8,G8,1C,63,C,0.072,0.113,0.064
H,8,H8,1C,64,C,0.05,0.069,0.043
A,9,A9,1C,65,C,0.062,0.112,0.041
B,9,B9,1C,66,C,0.057,0.099,0.04
C,9,C9,1C,67,C,0.053,0.091,0.041
D,9,D9,1C,68,C,0.052,0.085,0.042
E,9,E9,1C,69,C,0.053,0.095,0.04
F,9,F9,1C,70,C,0.049,0.08,0.04
G,9,G9,1C,71,C,0.055,0.111,0.04
H,9,H9,1C,72,C,0.053,0.085,0.042
A,10,A10,1C,73,C,0.05,0.08,0.042
B,10,B10,1C,74,C,0.057,0.111,0.041
C,10,C10,1C,75,C,0.052,0.09,0.04
D,10,D10,1C,76,C,0.065,0.128,0.046
E,10,E10,1C,77,C,0.056,0.106,0.039
F,10,F10,1C,78,C,0.057,0.09,0.049
G,10,G10,1C,79,C,0.076,0.175,0.041
H,10,H10,1C,80,C,0.05,0.073,0.044
A,11,A11,1C,81,C,0.055,0.092,0.041
B,11,B11,1C,82,C,0.048,0.075,0.04
C,11,C11,1C,83,C,0.058,0.11,0.041
D,11,D11,1C,84,C,0.055,0.1,0.042
E,11,E11,1C,85,C,0.065,0.139,0.04
F,11,F11,1C,86,C,0.059,0.117,0.04
G,11,G11,1C,87,C,0.068,0.119,0.055
H,11,H11,1C,88,C,0.086,0.202,0.046
B,12,B12,1C,90,C,0.052,0.083,0.043
C,12,C12,1C,91,C,0.065,0.144,0.04
D,12,D12,1C,92,C,0.067,0.136,0.043
E,12,E12,1C,93,C,0.063,0.095,0.047
F,12,F12,1C,94,C,0.052,0.093,0.04
G,12,G12,1C,95,C,0.07,0.155,0.04
H,12,H12,1C,96,C,0.059,0.102,0.047
A,1,A1,2A,97,A,0.06,0.13,0.037
B,1,B1,2A,98,A,0.087,0.212,0.042
C,1,C1,2A,99,A,0.052,0.107,0.036
D,1,D1,2A,100,A,0.06,0.134,0.037
E,1,E1,2A,101,A,0.063,0.147,0.036
F,1,F1,2A,102,A,0.088,0.223,0.037
G,1,G1,2A,103,A,0.081,0.218,0.035
H,1,H1,2A,104,A,0.047,0.082,0.037
A,2,A2,2A,105,A,0.068,0.145,0.045
B,2,B2,2A,106,A,0.072,0.173,0.041
C,2,C2,2A,107,A,0.085,0.219,0.041
D,2,D2,2A,108,A,0.073,0.158,0.042
E,2,E2,2A,109,A,0.059,0.118,0.04
F,2,F2,2A,110,A,0.072,0.157,0.04
G,2,G2,2A,111,A,0.054,0.101,0.039
H,2,H2,2A,112,A,0.08,0.198,0.043
A,3,A3,2A,113,A,0.088,0.218,0.045
B,3,B3,2A,114,A,0.076,0.164,0.044
C,3,C3,2A,115,A,0.135,0.42,0.042
D,3,D3,2A,116,A,0.082,0.192,0.042
E,3,E3,2A,117,A,0.076,0.18,0.041
F,3,F3,2A,118,A,0.132,0.356,0.04
G,3,G3,2A,119,A,0.058,0.115,0.04
H,3,H3,2A,120,A,0.074,0.157,0.044
A,4,A4,2A,121,A,0.067,0.14,0.043
B,4,B4,2A,122,A,0.067,0.137,0.045
C,4,C4,2A,123,A,0.063,0.127,0.042
D,4,D4,2A,124,A,0.09,0.235,0.044
E,4,E4,2A,125,A,0.067,0.151,0.041
F,4,F4,2A,126,A,0.068,0.152,0.042
G,4,G4,2A,127,A,0.052,0.088,0.041
H,4,H4,2A,128,A,0.08,0.195,0.044
A,5,A5,2A,129,A,0.093,0.257,0.042
B,5,B5,2A,130,A,0.069,0.156,0.041
C,5,C5,2A,131,A,0.072,0.166,0.041
D,5,D5,2A,132,A,0.074,0.169,0.042
E,5,E5,2A,133,A,0.066,0.147,0.04
F,5,F5,2A,134,A,0.085,0.221,0.042
G,5,G5,2A,135,A,0.068,0.159,0.04
H,5,H5,2A,136,A,0.071,0.167,0.043
A,6,A6,2A,137,A,0.055,0.097,0.043
B,6,B6,2A,138,A,0.078,0.198,0.042
C,6,C6,2A,139,A,0.075,0.177,0.043
D,6,D6,2A,140,A,0.08,0.176,0.043
E,6,E6,2A,141,A,0.06,0.122,0.041
F,6,F6,2A,142,A,0.054,0.1,0.041
G,6,G6,2A,143,A,0.056,0.102,0.041
H,6,H6,2A,144,A,0.062,0.127,0.043
A,7,A7,2A,97,B,0.074,0.165,0.044
B,7,B7,2A,98,B,0.099,0.257,0.042
C,7,C7,2A,99,B,0.063,0.125,0.044
D,7,D7,2A,100,B,0.07,0.159,0.042
E,7,E7,2A,101,B,0.071,0.17,0.039
F,7,F7,2A,102,B,0.107,0.274,0.041
G,7,G7,2A,103,B,0.098,0.271,0.04
H,7,H7,2A,104,B,0.055,0.1,0.042
A,8,A8,2A,105,B,0.075,0.17,0.043
B,8,B8,2A,106,B,0.079,0.199,0.04
C,8,C8,2A,107,B,0.091,0.247,0.04
D,8,D8,2A,108,B,0.079,0.185,0.039
E,8,E8,2A,109,B,0.074,0.145,0.046
F,8,F8,2A,110,B,0.078,0.182,0.038
G,8,G8,2A,111,B,0.058,0.115,0.039
H,8,H8,2A,112,B,0.088,0.237,0.04
A,9,A9,2A,113,B,0.094,0.253,0.04
B,9,B9,2A,114,B,0.078,0.18,0.039
C,9,C9,2A,115,B,0.149,0.477,0.041
D,9,D9,2A,116,B,0.088,0.22,0.039
E,9,E9,2A,117,B,0.082,0.211,0.037
F,9,F9,2A,118,B,0.148,0.41,0.039
G,9,G9,2A,119,B,0.061,0.127,0.038
H,9,H9,2A,120,B,0.08,0.186,0.041
A,10,A10,2A,121,B,0.071,0.161,0.042
B,10,B10,2A,122,B,0.067,0.151,0.04
C,10,C10,2A,123,B,0.065,0.139,0.039
D,10,D10,2A,124,B,0.095,0.266,0.04
E,10,E10,2A,125,B,0.071,0.171,0.038
F,10,F10,2A,126,B,0.074,0.172,0.042
G,10,G10,2A,127,B,0.054,0.097,0.039
H,10,H10,2A,128,B,0.085,0.223,0.041
A,11,A11,2A,129,B,0.101,0.296,0.04
B,11,B11,2A,130,B,0.073,0.176,0.039
C,11,C11,2A,131,B,0.078,0.195,0.039
D,11,D11,2A,132,B,0.078,0.19,0.039
E,11,E11,2A,133,B,0.071,0.171,0.039
F,11,F11,2A,134,B,0.095,0.266,0.04
G,11,G11,2A,135,B,0.072,0.179,0.037
H,11,H11,2A,136,B,0.076,0.194,0.04
A,12,A12,2A,137,B,0.057,0.107,0.041
B,12,B12,2A,138,B,0.083,0.228,0.039
C,12,C12,2A,139,B,0.079,0.202,0.039
D,12,D12,2A,140,B,0.084,0.2,0.039
E,12,E12,2A,141,B,0.061,0.136,0.036
F,12,F12,2A,142,B,0.055,0.11,0.038
G,12,G12,2A,143,B,0.056,0.11,0.037
H,12,H12,2A,144,B,0.063,0.139,0.04
A,1,A1,2B,97,C,0.089,0.226,0.039
B,1,B1,2B,98,C,0.066,0.146,0.04
C,1,C1,2B,99,C,0.061,0.111,0.038
D,1,D1,2B,100,C,0.065,0.145,0.04
E,1,E1,2B,101,C,0.064,0.146,0.036
F,1,F1,2B,102,C,0.094,0.237,0.038
G,1,G1,2B,103,C,0.089,0.236,0.039
H,1,H1,2B,104,C,0.053,0.091,0.041
A,2,A2,2B,105,C,0.072,0.154,0.043
B,2,B2,2B,106,C,0.078,0.177,0.045
C,2,C2,2B,107,C,0.087,0.22,0.042
D,2,D2,2B,108,C,0.079,0.168,0.046
