TimeP,RandN,Rep,Count_ul,FC_df,InputVol_ul,RespVol_ul,SendInputVol_ul,SendTotalVol_ul
M4,M4_4,B,236.42,1,1000,300,20,200
M4,M4_4,C,268.32,1,1000,300,20,200
M4,M4_5,A,184.45,1,1000,300,20,200
M4,M4_5,B,264,1,1000,300,20,200
M4,M4_5,C,330.13,1,1000,300,20,200
M4,M4_6,A,222.9,1,1000,300,20,200
M4,M4_6,B,155.09,1,1000,300,20,200
M4,M4_6,C,256.95,1,1000,300,20,200
M4,M4_7,A,444.65,1,1000,300,20,200
M4,M4_7,B,546.27,1,1000,300,20,200
M4,M4_7,C,497.59,1,1000,300,20,200
M4,M4_8,A,408.84,1,1000,300,20,200
M4,M4_8,B,524.56,1,1000,300,20,200
M4,M4_8,C,468.83,1,1000,300,20,200
M4,M4_9,A,139,1,1000,300,20,200
M4,M4_9,B,133.8,1,1000,300,20,200
M4,M4_9,C,113.23,1,1000,300,20,200
M4,M4_10,A,258.94,1,1000,300,20,200
M4,M4_10,B,193.2,1,1000,300,20,200
M4,M4_10,C,275.31,1,1000,300,20,200
M4,M4_11,A,172.36,1,1000,300,20,200
M4,M4_11,B,209.16,1,1000,300,20,200
M4,M4_11,C,100.76,1,1000,300,20,200
M4,M4_12,A,454.65,1,1000,300,20,200
M4,M4_12,B,818.8,1,1000,300,20,200
M4,M4_12,C,895.76,1,1000,300,20,200
M4,M4_13,A,139.06,1,1000,300,20,200
M4,M4_13,B,122.76,1,1000,300,20,200
M4,M4_13,C,246.59,1,1000,300,20,200
M4,M4_14,A,163.76,1,1000,300,20,200
M4,M4_14,B,246.63,1,1000,300,20,200
M4,M4_14,C,140.24,1,1000,300,20,200
M4,M4_15,A,63.91,1,1000,300,20,200
M4,M4_15,B,47.56,1,1000,300,20,200
M4,M4_15,C,87.89,1,1000,300,20,200
M4,M4_16,A,94.27,1,1000,300,20,200
M4,M4_16,B,274.64,1,1000,300,20,200
M4,M4_16,C,90.32,1,1000,300,20,200
M4,M4_17,A,148.66,1,1000,600,20,200
M4,M4_17,B,185.37,1,1000,600,20,200
M4,M4_17,C,188.56,1,1000,600,20,200
M4,M4_18,A,72.02,1,1000,600,20,200
M4,M4_18,B,55.79,1,1000,600,20,200
M4,M4_18,C,51.09,1,1000,600,20,200
M4,M4_19,A,177.29,1,1000,600,20,200
M4,M4_19,B,104.16,1,1000,600,20,200
M4,M4_19,C,164.88,1,1000,600,20,200
M4,M4_20,A,167,1,1000,600,20,200
M4,M4_20,B,163.76,1,1000,600,20,200
M4,M4_20,C,119.12,1,1000,600,20,200
M4,M4_21,A,48.2,1,1000,600,20,200
M4,M4_21,B,33.1,1,1000,600,20,200
M4,M4_21,C,44.36,1,1000,600,20,200
M4,M4_22,A,61.28,1,1000,600,20,200
M4,M4_22,B,41.76,1,1000,600,20,200
M4,M4_22,C,26.63,1,1000,600,20,200
M4,M4_23,A,118.88,1,1000,600,20,200
M4,M4_23,B,117.2,1,1000,600,20,200
M4,M4_23,C,143.08,1,1000,600,20,200
M4,M4_24,A,84.71,1,1000,600,20,200
M4,M4_24,B,84.43,1,1000,600,20,200
M4,M4_24,C,74.79,1,1000,600,20,200
M4,M4_25,A,49.91,1,1000,600,20,200
M4,M4_25,B,139.54,1,1000,600,20,200
M4,M4_25,C,104.92,1,1000,600,20,200
M4,M4_26,A,144.52,1,1000,600,20,200
M4,M4_26,B,110.72,1,1000,600,20,200
M4,M4_26,C,132.6,1,1000,600,20,200
M4,M4_27,A,106.68,1,1000,600,20,200
M4,M4_27,B,95.36,1,1000,600,20,200
M4,M4_27,C,134.08,1,1000,600,20,200
M4,M4_28,A,86.24,1,1000,600,20,200
M4,M4_28,B,94.85,1,1000,600,20,200
M4,M4_28,C,62.54,1,1000,600,20,200
M4,M4_29,A,256.72,1,1000,600,20,200
M4,M4_29,B,132.12,1,1000,600,20,200
M4,M4_29,C,226.12,1,1000,600,20,200
M4,M4_30,A,57.4,1,1000,600,20,200
M4,M4_30,B,55.68,1,1000,600,20,200
M4,M4_30,C,55.66,1,1000,600,20,200
M4,M4_31,A,78.37,1,1000,600,20,200
M4,M4_31,B,78.4,1,1000,600,20,200
M4,M4_31,C,71.96,1,1000,600,20,200
M4,M4_32,A,322.92,1,1000,600,20,200
M4,M4_32,B,247.99,1,1000,600,20,200
M4,M4_32,C,358.49,1,1000,600,20,200
M4,M4_33,A,294.52,1,1000,600,20,200
M4,M4_33,B,262.25,1,1000,600,20,200
M4,M4_33,C,284.02,1,1000,600,20,200
M4,M4_34,A,259.72,1,1000,600,20,200
M4,M4_34,B,32.6,1,1000,600,20,200
M4,M4_34,C,254.91,1,1000,600,20,200
M4,M4_35,A,44.88,1,1000,600,20,200
M4,M4_35,B,88.97,1,1000,600,20,200
M4,M4_35,C,73.64,1,1000,600,20,200
M4,M4_37,A,312.46,1,1000,600,20,200
M4,M4_36,B,97.61,1,1000,600,20,200
M4,M4_36,C,98.65,1,1000,600,20,200
M4,M4_36,A,135.72,1,1000,600,20,200
M4,M4_37,B,313.16,1,1000,600,20,200
M4,M4_37,C,282.48,1,1000,600,20,200
M4,M4_38,A,105.21,1,1000,600,20,200
M4,M4_38,B,114.07,1,1000,600,20,200
M4,M4_38,C,84.04,1,1000,600,20,200
M4,M4_39,A,90.98,1,1000,600,20,200
M4,M4_39,B,105.44,1,1000,600,20,200
M4,M4_39,C,155.12,1,1000,600,20,200
M4,M4_40,A,135.6,1,1000,600,20,200
M4,M4_40,B,58.88,1,1000,600,20,200
M4,M4_40,C,133.44,1,1000,600,20,200
M4,M4_41,A,284.54,1,1000,600,20,200
M4,M4_41,B,240.92,1,1000,600,20,200
M4,M4_41,C,250.72,1,1000,600,20,200
M4,M4_42,A,216.7,1,1000,600,20,200
M4,M4_42,B,130.18,1,1000,600,20,200
M4,M4_42,C,232.76,1,1000,600,20,200
M4,M4_43,A,274.14,1,1000,600,20,200
M4,M4_43,B,102.06,1,1000,600,20,200
M4,M4_43,C,232.08,1,1000,600,20,200
M4,M4_44,A,358.56,1,1000,600,20,200
