TimeP,Date.Time,Date,Time,Tank,PAR
IN,8/18/2021 5:10,8/18/2021,5:10:00,C2,0
TP1,8/30/2021 11:30,8/30/2021,11:30:00,H1,1628
TP1,8/30/2021 11:30,8/30/2021,11:30:00,C2,413
TP1,8/30/2021 11:40,8/30/2021,11:40:00,H1,1688
TP1,8/30/2021 11:40,8/30/2021,11:40:00,C2,410
TP1,8/30/2021 11:50,8/30/2021,11:50:00,H1,209
TP1,8/30/2021 11:50,8/30/2021,11:50:00,C2,350
TP1,8/30/2021 12:00,8/30/2021,12:00:00,H1,948
TP1,8/30/2021 12:00,8/30/2021,12:00:00,C2,730
TP1,8/30/2021 12:10,8/30/2021,12:10:00,H1,420
TP1,8/30/2021 12:10,8/30/2021,12:10:00,C2,410
TP1,8/30/2021 12:20,8/30/2021,12:20:00,H1,578
TP1,8/30/2021 12:20,8/30/2021,12:20:00,C2,464
TP1,8/30/2021 12:30,8/30/2021,12:30:00,H1,89
TP1,8/30/2021 12:30,8/30/2021,12:30:00,C2,99
TP1,8/30/2021 12:40,8/30/2021,12:40:00,H1,107
TP1,8/30/2021 12:40,8/30/2021,12:40:00,C2,122
TP1,8/30/2021 12:50,8/30/2021,12:50:00,H1,123
TP1,8/30/2021 12:50,8/30/2021,12:50:00,C2,128
TP1,8/30/2021 13:00,8/30/2021,13:00:00,H1,303
TP1,8/30/2021 13:00,8/30/2021,13:00:00,C2,527
TP1,8/30/2021 13:10,8/30/2021,13:10:00,H1,95
TP1,8/30/2021 13:10,8/30/2021,13:10:00,C2,87
TP1,8/30/2021 13:20,8/30/2021,13:20:00,H1,85
TP1,8/30/2021 13:20,8/30/2021,13:20:00,C2,93
TP1,8/30/2021 13:30,8/30/2021,13:30:00,H1,800
TP1,8/30/2021 13:30,8/30/2021,13:30:00,C2,385
TP1,8/30/2021 13:40,8/30/2021,13:40:00,H1,85
TP1,8/30/2021 13:40,8/30/2021,13:40:00,C2,83
TP1,8/30/2021 13:50,8/30/2021,13:50:00,H1,149
TP1,8/30/2021 13:50,8/30/2021,13:50:00,C2,141
TP1,8/30/2021 14:00,8/30/2021,14:00:00,H1,117
TP1,8/30/2021 14:00,8/30/2021,14:00:00,C2,125
TP1,8/30/2021 14:10,8/30/2021,14:10:00,H1,926
TP1,8/30/2021 14:10,8/30/2021,14:10:00,C2,895
TP1,8/30/2021 14:20,8/30/2021,14:20:00,H1,253
TP1,8/30/2021 14:20,8/30/2021,14:20:00,C2,245
TP1,8/30/2021 14:30,8/30/2021,14:30:00,H1,503
TP1,8/30/2021 14:30,8/30/2021,14:30:00,C2,274
TP1,8/30/2021 14:40,8/30/2021,14:40:00,H1,221
TP1,8/30/2021 14:40,8/30/2021,14:40:00,C2,137
TP1,8/30/2021 14:50,8/30/2021,14:50:00,H1,32
TP1,8/30/2021 14:50,8/30/2021,14:50:00,C2,39
TP1,8/30/2021 15:00,8/30/2021,15:00:00,H1,104
TP1,8/30/2021 15:00,8/30/2021,15:00:00,C2,134
TP1,8/30/2021 15:10,8/30/2021,15:10:00,H1,16
TP1,8/30/2021 15:10,8/30/2021,15:10:00,C2,30
TP1,8/30/2021 15:20,8/30/2021,15:20:00,H1,806
TP1,8/30/2021 15:20,8/30/2021,15:20:00,C2,768
TP1,8/30/2021 15:30,8/30/2021,15:30:00,H1,139
TP1,8/30/2021 15:30,8/30/2021,15:30:00,C2,141
TP1,8/30/2021 15:40,8/30/2021,15:40:00,H1,168
TP1,8/30/2021 15:40,8/30/2021,15:40:00,C2,166
TP1,8/30/2021 15:50,8/30/2021,15:50:00,H1,247
